"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "XML", "CSS", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\Users\Aquilae\proyectos\videotest\config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Aquilae\proyectos\videotest\handlers\api_functions\patientList.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Aquilae\proyectos\videotest\handlers\api_functions\scorePatient.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 13, 24, 112
"c:\Users\Aquilae\proyectos\videotest\handlers\api_handler.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8
"c:\Users\Aquilae\proyectos\videotest\handlers\db_handler.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48, 269
"c:\Users\Aquilae\proyectos\videotest\handlers\modules\login-module-db.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 135
"c:\Users\Aquilae\proyectos\videotest\models\clinicaModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\dermatoModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\endocrinoModel.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Aquilae\proyectos\videotest\models\patientModel.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Aquilae\proyectos\videotest\package-lock.json", "JSON", 0, 1422, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1423
"c:\Users\Aquilae\proyectos\videotest\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Aquilae\proyectos\videotest\server.js", "JavaScript", 229, 0, 0, 0, 0, 0, 0, 0, 0, 14, 68, 311
"c:\Users\Aquilae\proyectos\videotest\todo.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Aquilae\proyectos\videotest\videoclient\about.html", "HTML", 0, 0, 0, 478, 0, 0, 0, 0, 0, 35, 71, 584
"c:\Users\Aquilae\proyectos\videotest\videoclient\browserconfig.xml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Aquilae\proyectos\videotest\videoclient\clinica.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 8, 52
"c:\Users\Aquilae\proyectos\videotest\videoclient\css\app.css", "CSS", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
